# GLoBES cross section file for NC interactions in the following material:
#
#      PDG code     abundance
#     1000260560        1
#
# log10(E/GeV) \nu_e      \nu_\mu         \nu_\tau      \bar{\nu}_e    \bar{\nu}_\mu  \bar{\nu}_\tau
-0.511	0.2657504	0.2657504	0.2657504           0.0           0.0             0.0
-0.508	0.2666791	0.2666791	0.2666791           0.0           0.0             0.0
-0.505	0.2676213	0.2676213	0.2676213           0.0           0.0             0.0
-0.502	0.2687334	0.2687334	0.2687334           0.0           0.0             0.0
-0.499	0.2699165	0.2699165	0.2699165           0.0           0.0             0.0
-0.496	0.2710951	0.2710951	0.2710951           0.0           0.0             0.0
-0.493	0.2722896	0.2722896	0.2722896           0.0           0.0             0.0
-0.49	0.273496	0.273496	0.273496            0.0           0.0             0.0
-0.487	0.2746972	0.2746972	0.2746972           0.0           0.0             0.0
-0.484	0.2757902	0.2757902	0.2757902           0.0           0.0             0.0
-0.481	0.2768704	0.2768704	0.2768704           0.0           0.0             0.0
-0.478	0.2779648	0.2779648	0.2779648           0.0           0.0             0.0
-0.475	0.2790569	0.2790569	0.2790569          0.0           0.0             0.0 
-0.472	0.2801414	0.2801414	0.2801414           0.0           0.0             0.0
-0.469	0.2812565	0.2812565	0.2812565          0.0           0.0             0.0 
-0.466	0.2822547	0.2822547	0.2822547           0.0           0.0             0.0
-0.463	0.2832202	0.2832202	0.2832202          0.0           0.0             0.0 
-0.46	0.2841791	0.2841791	0.2841791           0.0           0.0             0.0
-0.457	0.2851694	0.2851694	0.2851694           0.0           0.0             0.0
-0.454	0.2861798	0.2861798	0.2861798           0.0           0.0             0.0
-0.451	0.287194	0.287194	0.287194            0.0           0.0             0.0
-0.448	0.2880914	0.2880914	0.2880914           0.0           0.0             0.0
-0.445	0.2890029	0.2890029	0.2890029           0.0           0.0             0.0
-0.442	0.2899386	0.2899386	0.2899386           0.0           0.0             0.0
-0.439	0.2908818	0.2908818	0.2908818           0.0           0.0             0.0
-0.436	0.2918184	0.2918184	0.2918184           0.0           0.0             0.0
-0.433	0.2927837	0.2927837	0.2927837           0.0           0.0             0.0
-0.43	0.2937844	0.2937844	0.2937844           0.0           0.0             0.0
-0.427	0.2947962	0.2947962	0.2947962           0.0           0.0             0.0
-0.424	0.2958011	0.2958011	0.2958011           0.0           0.0             0.0
-0.421	0.2968335	0.2968335	0.2968335          0.0           0.0             0.0 
-0.418	0.2978959	0.2978959	0.2978959           0.0           0.0             0.0
-0.415	0.2989711	0.2989711	0.2989711           0.0           0.0             0.0
-0.412	0.299746	0.299746	0.299746            0.0           0.0             0.0
-0.409	0.3005422	0.3005422	0.3005422           0.0           0.0             0.0
-0.406	0.3013657	0.3013657	0.3013657           0.0           0.0             0.0
-0.403	0.3022061	0.3022061	0.3022061           0.0           0.0             0.0
-0.4	0.3030407	0.3030407	0.3030407           0.0           0.0             0.0
-0.397	0.303899	0.303899	0.303899            0.0           0.0             0.0
-0.394	0.3048315	0.3048315	0.3048315           0.0           0.0             0.0
